image;sign_data
1277104195Image000003.jpg;[{"category": "PROHIBITORY", "x_min": "377.737633", "x_max": "470.265032", "y_min": "355.784819", "y_max": "446.711493", "sign": "100_SIGN"}]
1277104195Image000008.jpg;[{"category": "PROHIBITORY", "x_min": "398.162973", "x_max": "469.750756", "y_min": "373.926451", "y_max": "443.183799", "sign": "100_SIGN"}]
1277104195Image000013.jpg;[{"category": "PROHIBITORY", "x_min": "421.951760", "x_max": "466.808005", "y_min": "393.983863", "y_max": "437.145083", "sign": "100_SIGN"}]
1277104195Image000018.jpg;[{"category": "PROHIBITORY", "x_min": "465.033384", "x_max": "462.795458", "y_min": "431.563438", "y_max": "426.820959", "sign": "100_SIGN"}]
1277104195Image000023.jpg;[{"category": "PROHIBITORY", "x_min": "516.834342", "x_max": "457.464211", "y_min": "479.713516", "y_max": "416.027009", "sign": "100_SIGN"}]
1277104195Image000028.jpg;[{"category": "PROHIBITORY", "x_min": "639.212170", "x_max": "455.389548", "y_min": "587.084193", "y_max": "398.216929", "sign": "100_SIGN"}]
1277104195Image000033.jpg;[{"category": "PROHIBITORY", "x_min": "975.069146", "x_max": "433.391346", "y_min": "892.551615", "y_max": "335.577882", "sign": "100_SIGN"}]
1277104293Image000004.jpg;[{"category": "PROHIBITORY", "x_min": "381.136110", "x_max": "450.226577", "y_min": "365.535203", "y_max": "434.040636", "sign": "70_SIGN"}, {"category": "PROHIBITORY", "x_min": "75.926368", "x_max": "457.409937", "y_min": "58.917487", "y_max": "439.692352", "sign": "70_SIGN"}]
1277104293Image000009.jpg;[{"category": "PROHIBITORY", "x_min": "375.164370", "x_max": "447.194537", "y_min": "358.813273", "y_max": "430.332468", "sign": "70_SIGN"}, {"category": "PROHIBITORY", "x_min": "37.906998", "x_max": "456.862233", "y_min": "18.316184", "y_max": "438.039686", "sign": "70_SIGN"}]
1277104293Image000014.jpg;[{"category": "PROHIBITORY", "x_min": "379.670102", "x_max": "447.343638", "y_min": "358.534837", "y_max": "426.771979", "sign": "70_SIGN"}]
1277104293Image000019.jpg;[{"category": "PROHIBITORY", "x_min": "387.457784", "x_max": "450.885565", "y_min": "363.531339", "y_max": "426.234076", "sign": "70_SIGN"}]
1277104293Image000024.jpg;[{"category": "PROHIBITORY", "x_min": "400.380896", "x_max": "448.271276", "y_min": "373.792325", "y_max": "421.399848", "sign": "70_SIGN"}]
1277104293Image000029.jpg;[{"category": "PROHIBITORY", "x_min": "417.913707", "x_max": "444.351663", "y_min": "389.090923", "y_max": "414.073182", "sign": "70_SIGN"}]
1277104293Image000034.jpg;[{"category": "PROHIBITORY", "x_min": "468.652216", "x_max": "446.237718", "y_min": "430.045131", "y_max": "407.067026", "sign": "70_SIGN"}]
1277104293Image000039.jpg;[{"category": "PROHIBITORY", "x_min": "541.902847", "x_max": "440.500803", "y_min": "493.635844", "y_max": "391.896269", "sign": "70_SIGN"}]
